mode,exercise,processes,repeat,scale,total_time_seconds
strong,1,1,1,1,6.07142
strong,1,2,1,1,5.10191
strong,1,4,1,1,0.818613
strong,1,8,1,1,0.625944
strong,2,1,1,1,5.09852
strong,2,2,1,1,3.82979
strong,2,4,1,1,1.4382
strong,2,8,1,1,1.71473
strong,3,1,1,1,3.68594
strong,3,2,1,1,2.58899
strong,3,4,1,1,0.922357
strong,3,8,1,1,0.623646
strong,4,1,1,1,2.79238
strong,4,2,1,1,2.64447
strong,4,4,1,1,1.03404
strong,4,8,1,1,1.92316
strong,5,1,1,1,4.58571
strong,5,2,1,1,2.49678
strong,5,4,1,1,0.885435
strong,5,8,1,1,0.752494
strong,6,1,1,1,4.60958
strong,6,2,1,1,2.59167
strong,6,4,1,1,1.33792
strong,6,8,1,1,1.83823
